,t[s],T[K],density[kg/m3],mean_MW[kg/mol],mdot[kg/s,N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_v[nm],d_g[nm],n_p,soot_mass[kg/kg],volume_fraction,SSA,total_carbon_mass_flow[kg/s],carbon_yield,total_hydrogen_mass_flow[kg/s],soot_mass_flow[kg/s],inception_mass[mol/kg-s],coagulation_mass[mol/kg-s],PAH_adsorption_mass[mol/kg-s],surface_growth_mass[mol/kg-s],soot_h[J/m3],C_mass_error,H_mass_error,enthalpy_error
118,0.1594700613812314,1913.1598226387462,0.15927010482732204,0.025003631541994774,0.004866647356251631,5.1104791613318374e-11,5.1115764196489754e-11,5.6982090206569676e-05,7.2077659056461575e-06,0.07954558311201487,4901700.738271835,4902753.1702911025,30776025065.00624,30782632909.086014,28.68007075085155,28.6828416093711,28.682123212939768,22.234760937496976,1.0002147075220345,6.916773135039997e-07,6.120195457136806e-11,115.0038920736626,0.0004993238100778267,6.67060374281775e-06,8.380957464964594e-05,3.3661495691434706e-09,6.24757141699056e-09,-1.3404630654412372e-12,1.3577901257739757e-06,0.0070144068814672385,0.009338016925062516,-4.993407928497428e-09,4.993401636415466e-09,-7.6616600221434e-09
119,0.1694462732796834,1913.1598146263686,0.15927010567649275,0.02500363157058803,0.004866647398161146,5.110489408518011e-11,5.111586169830402e-11,5.687034205474657e-05,7.193660043058256e-06,0.0794416011708423,4901710.592963827,4902762.548288094,30776086775.004185,30782691626.051395,28.66129199949797,28.664059784033963,28.663342184601525,22.22020138297206,1.0002146098396296,6.903208877429639e-07,6.108193374528452e-11,115.07923717994439,0.0004993238137004973,6.657522011870051e-06,8.380957525769747e-05,3.359548352230588e-09,6.2475806163636684e-09,-1.3401277531953874e-12,1.3576503444119414e-06,0.007006517226607323,0.00931970446969385,2.2617448035211077e-09,2.2617542548716948e-09,1.4734706565070015e-09
120,0.18380402180046776,1913.1598083431072,0.15927010634278446,0.025003631593070057,0.004866647422899402,5.11049880204641e-11,5.111595187746305e-11,5.6784174464486414e-05,7.1827832052882225e-06,0.07936138314431068,4901719.623244314,4902771.218305382,30776143344.154808,30782745933.210682,28.646792368051553,28.64955779993428,28.64884081047963,22.208959534832772,1.000214535946952,6.892749649638768e-07,6.098938720511983e-11,115.13748094487926,0.0004993238157164184,6.647434843647232e-06,8.380957559606195e-05,3.354458231910527e-09,6.2475877846769135e-09,-1.3398694701346999e-12,1.3575426600080475e-06,0.00700043003083753,0.0093055839512716,6.299047100942425e-09,6.299055262036235e-09,6.162733854355855e-09
121,0.19906580575483263,1913.1598052254833,0.15927010667346114,0.025003631604238605,0.0048666473779339844,5.110503827779341e-11,5.111600030846558e-11,5.674179788578336e-05,7.177434061633913e-06,0.07932191970170435,4901724.453837969,4902775.873729633,30776173609.826145,30782775099.042316,28.639655426438644,28.642419706119494,28.64170301539883,22.2034261287748,1.0002144999992482,6.88760587940271e-07,6.094387350762376e-11,115.16617107682578,0.0004993238108460722,6.642473971476295e-06,8.380957477859318e-05,3.3519549093237893e-09,6.2475913293534565e-09,-1.3397425001913981e-12,1.3574897146902208e-06,0.006997435204368204,0.009298639476247766,-3.454836216271418e-09,3.454827545179163e-09,-3.4759431536266407e-09
122,0.2072475106703123,1913.1598043339018,0.15927010676804648,0.025003631607434944,0.004866647385064423,5.110505302223566e-11,5.111601453407037e-11,5.672971020449261e-05,7.175908248833788e-06,0.07931066138233912,4901725.870957711,4902777.241085859,30776182489.136868,30782783665.901817,28.63761892748005,28.640382878984568,28.63966627335091,22.201847193011293,1.0002144897849914,6.886138647809853e-07,6.093089098090258e-11,115.1743603181211,0.0004993238115044023,6.641058937775753e-06,8.380957488909118e-05,3.3512408643554883e-09,6.247592342222782e-09,-1.339706284923685e-12,1.3574746117646313e-06,0.006996580798173306,0.009296658641855903,-2.1363930813280347e-09,2.1363863556779733e-09,-2.1441667522348036e-09
123,0.22576760146548808,1913.1598032959687,0.15927010687816953,0.02500363161115646,0.004866647446764544,5.110507035644882e-11,5.111603126593741e-11,5.671565433781012e-05,7.174133994655523e-06,0.07929756900840851,4901727.536952749,4902778.8493077755,30776192928.044098,30782793742.06773,28.635250435785466,28.638014005897972,28.637297499148673,22.20001085728525,1.000214477925813,6.884432513180502e-07,6.09157945649891e-11,115.18388604520469,0.000499323817749716,6.639413573054689e-06,8.380957593734312e-05,3.3504105912692703e-09,6.247593520841663e-09,-1.3396641721721867e-12,1.3574570483625942e-06,0.006995587187272315,0.00929435537867144,1.0371149260418654e-08,1.0371157543690804e-08,1.0370331615658978e-08
124,0.2457676014654881,1913.159802883004,0.15927010692197116,0.025003631612637096,0.004866647389284478,5.11050772947075e-11,5.1116037964965296e-11,5.671006630464594e-05,7.173428624379715e-06,0.07929236374316209,4901728.203781803,4902779.493191369,30776197106.361168,30782797776.316647,28.634308703900132,28.6370721224399,28.636355654989202,22.19928071506969,1.0002144732155396,6.883754224384771e-07,6.090979285235184e-11,115.18767399085746,0.0004993238118183252,6.638759331985379e-06,8.380957494178195e-05,3.3500804524578144e-09,6.2475939896113266e-09,-1.3396474291962727e-12,1.3574500652329103e-06,0.0069951921424838345,0.009293439539553616,-1.5076969829563963e-09,1.5076899875177726e-09,-1.5077741563096104e-09
125,0.2657676014654881,1913.1598027376367,0.15927010693739177,0.025003631613158345,0.004866647379971252,5.1105079741510836e-11,5.111604032759179e-11,5.670809953289293e-05,7.173180361302216e-06,0.07929053165261016,4901728.4389408,4902779.720276671,30776198579.860584,30782799199.12359,28.633977235084128,28.636740600281172,28.636024146660763,22.199023721148194,1.0002144715581385,6.883515492937696e-07,6.090768048141e-11,115.18900732330759,0.0004993238108508562,6.638529079304905e-06,8.380957477939622e-05,3.349964263869676e-09,6.2475941546194385e-09,-1.339641536147601e-12,1.357447607314018e-06,0.006995053098362438,0.009293117220424833,-3.4452553920739073e-09,3.4452458065359016e-09,-3.445267438798395e-09
126,0.28576760146548813,1913.1598026864651,0.15927010694282262,0.02500363161334182,0.004866647393359015,5.1105080603148374e-11,5.111604115960356e-11,5.67074072894398e-05,7.173092980298714e-06,0.07928988680798826,4901728.521751649,4902779.800246008,30776199098.750843,30782799700.17279,28.633860566306634,28.636623912729068,28.635907463976395,22.198933265681447,1.0002144709748195,6.883431466776026e-07,6.090693699150044e-11,115.18947663050541,0.0004993238122202608,6.638448060142972e-06,8.380957500924543e-05,3.3499233805150966e-09,6.2475942127081516e-09,-1.3396394619463212e-12,1.3574467421828366e-06,0.006995004158629603,0.009293003805781835,-7.027373001117749e-10,7.027285348311287e-10,-7.027395023234211e-10
127,0.30576760146548815,1913.1598026684553,0.15927010694473429,0.025003631613406373,0.004866647400780491,5.1105080906458664e-11,5.111604145248653e-11,5.6707163638940395e-05,7.173062224608595e-06,0.0792896598399563,4901728.550902397,4902779.828396638,30776199281.40857,30782799876.55104,28.63381950189983,28.63658284171414,28.63586639467477,22.19890142768538,1.0002144707695098,6.883401891897186e-07,6.09066753036695e-11,115.18964181546964,0.0004993238129802366,6.638419547340283e-06,8.380957513680433e-05,3.3499089925728956e-09,6.247594233149527e-09,-1.3396387318806449e-12,1.357446437677378e-06,0.006994986933142931,0.009292963892145943,8.192727272071341e-10,8.192802124899229e-10,8.192788779028904e-10
