,t[s],P[kPa],T[K],density[kg/m3],mean_MW[kg/mol],gas_mass[kg],H_gas[J],W_work[J],N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,soot_mass[ug/g],volume_fraction,SSA[m2/g],total_carbon_mass_per_kggas[kg/kg],carbon_yield,total_hydrogen_mass_kggas[kg/kg],total_carbon_mass[kg],total_hydrogen_mass[kg],inception_mass[mol/kg-s],coagulation_mass[mol/kg-s],PAH_adsorption_mass[mol/kg-s],surface_growth_mass[mol/kg-s],H_soot[J]
20,1.4726362828341405e-05,470148.00000000006,2022.4362439963202,1.0073062477392316,0.03602765202017944,0.9018347921208401,1122498.4535503378,0.0,1.1546285775175032e-11,1.1546285822264618e-11,4.397124564689522e-09,3.4952127889299714e-09,8.777731489847246e-05,7004138.659961648,7004138.688526851,6953335865.514118,6953335893.872129,2.00424762965876,2.004247632060945,1.5536803349309656,2.004247630836631,1.000000004078332,5.633703763772728e-05,3.152702777311274e-14,1558.0747334093146,0.0319787642492715,1.6515292066224987e-09,0.010735024348767988,0.028839562209023114,0.009681218451983335,7.780034804879299e-06,-6.933810852101113e-14,1.100365755346228e-08,2.5291359454816653e-05,0.00015255557289398653
21,1.8018518379806578e-05,470147.99999999994,2002.3215422759547,1.0141830512912706,0.035912840805272225,0.9018347918517933,1122498.4527554445,0.0,7.252016024932662e-11,7.252016292166712e-11,2.7686016457415228e-08,2.1957544232198674e-08,0.0005521603991536769,44292073.185301356,44292074.81744751,43672661586.0008,43672663195.32188,2.005680515461152,2.0056805371682858,1.554791114083942,2.0056805260956145,1.000000036849622,0.00035466994825607046,1.9983347240203257e-13,1556.8288259794117,0.03197876425881185,1.0398673979271482e-08,0.0107350243519706,0.02883956220902315,0.009681218451983338,3.364405513247717e-05,-2.741390184107024e-12,1.466520225849535e-07,0.00014746299752021655,0.0009469198617975978
22,2.2323585653190704e-05,470148.0,1983.1951751166357,1.0208695407874249,0.03580430890866091,0.9018347905040179,1122498.4488315235,0.0,3.7695445327454877e-10,3.769545577923552e-10,1.4437506688657e-07,1.1414950712201958e-07,0.00287583454199681,231744816.95462495,231744881.21029222,227007279280.63538,227007342222.73004,2.0075484215373662,2.0075485849053574,1.5562392131049276,2.007548501497916,1.0000002772690588,0.0018491516315535883,1.0487458760835717e-12,1555.2183460372262,0.03197876430660355,5.4226264497031175e-08,0.010735024368013905,0.028839562209023176,0.009681218451983348,0.00011962997826507252,-7.424158311869244e-11,1.4773592597778445e-06,0.0007053221935884815,0.004870186174353426
23,2.80256839911124e-05,470147.9999999999,1964.9297463026885,1.027399146545042,0.03570144711163263,0.9018347847503951,1122498.432311234,0.0,1.6708122059125915e-09,1.6708151934844815e-09,6.426690008557289e-07,5.059150514648418e-07,0.012780643272736217,1033755290.5124073,1033757138.9656541,1006186635436.4219,1006188434594.279,2.0100224866191345,2.010023540723778,1.5581577835068043,2.010023002229449,1.0000017880955618,0.008229059741154718,4.696960530516957e-12,1553.111008396059,0.03197876451062509,2.413819780379769e-07,0.010735024436502372,0.028839562209023152,0.009681218451983348,0.00036089572404255895,-1.4622474062344448e-09,1.1791304689877537e-05,0.002867531153838688,0.021389775126978313
24,3.472730158952445e-05,470147.9999999999,1949.2937942612953,1.0331055160040772,0.035614067101424646,0.9018347670546786,1122498.3821277388,0.0,5.628391709677685e-09,5.62843923391939e-09,2.175829919676811e-06,1.703445107698615e-06,0.0431877749165035,3501707773.7401824,3501737340.9798493,3389496735323.174,3389525355090.67,2.0129281682349385,2.0129331513916773,1.560413295652463,2.0129306072302255,1.0000084436628005,0.027850965833798386,1.5984992460521228e-11,1550.674227035,0.031978765138109405,8.17226487019721e-07,0.010735024647144003,0.028839562209023173,0.009681218451983345,0.0008601368545247785,-1.663447244200348e-08,6.383689630152763e-05,0.008939348882455253,0.0715729125918672
25,4.4239259527778e-05,470148.0,1933.169221606865,1.0391060513456205,0.03552461157908882,0.9018347079874117,1122498.2166406224,0.0,1.8740795335041298e-08,1.874155372375978e-08,7.296466916109523e-06,5.664564408908282e-06,0.14443726219667372,11727320575.577652,11727795148.159206,11285970821160.186,11286427533524.57,2.0170305992931796,2.017054548178488,1.5636081768825487,2.0170423710274368,1.0000404672643248,0.09334774505357106,5.388789264701883e-11,1547.3031738879504,0.0319787672326155,2.740501898417457e-06,0.010735025350253521,0.02883956220902321,0.009681218451983347,0.0019747144727751305,-1.8497431110708849e-07,0.00033898155235761464,0.02740550702052506,0.2370594347063248
26,5.5436014387572164e-05,470147.9999999999,1919.3757748819853,1.0443335470368342,0.035448578967968096,0.9018345620856789,1122497.8123964183,0.0,5.0829754910038104e-08,5.0837466888211424e-08,1.9954988709139248e-05,1.5329015904241528e-05,0.39378948772366135,31967461435.969112,31972311594.4105,30610394089774.08,30615038351614.703,2.0218067575062113,2.02189703382458,1.5673620417244805,2.0218516156829827,1.0001517217265157,0.25513101741694694,1.4802326687675366e-10,1543.4794707070535,0.031978772406244596,7.494954074218424e-06,0.01073502708700089,0.028839562209023187,0.009681218451983348,0.0038563718916457754,-1.3648854301211881e-06,0.001351944286671132,0.06913598825881251,0.6413033386573745
27,7.127668516050555e-05,470147.99999999994,1905.1962776083094,1.0497977528536415,0.03537080591422322,0.9018341558839029,1122496.698983719,0.0,1.3905447234484168e-07,1.3913586161027417e-07,5.523638324947431e-05,4.1770150362327564e-05,1.085369607705033,87910652900.16237,87962107436.95348,83740561133034.27,83789574894638.58,2.0284633891556436,2.0288156908882287,1.5727253417738205,2.0286429390080265,1.0005853049100835,0.7055485107746624,4.114906895224855e-10,1538.334488883469,0.03197878681003944,2.0746398893782962e-05,0.010735031922243655,0.028839562209023208,0.009681218451983359,0.007469685590767047,-1.0254661410582631e-05,0.005448337808534777,0.17536980062395852,1.7547155548689775
28,8.943930051885078e-05,470147.99999999994,1893.308633223841,1.0544477551902007,0.035305801398829044,0.9018333029602372,1122494.3836245956,0.0,3.2133213732114503e-07,3.2191662176716434e-07,0.0001294199481346738,9.608394228492857e-05,2.5311034070753498,204046962710.7099,204418112253.84665,193510737451287.0,193862722214220.88,2.035998227971275,2.0371123339792225,1.579156848045909,2.036588134214109,1.0018189417681407,1.6513156108687754,9.673477994395085e-10,1532.7799182760152,0.03197881705450254,4.860922657966021e-05,0.010735042075076499,0.02883956220902319,0.009681218451983359,0.01287534297787455,-5.499634648854806e-05,0.017347094417480984,0.3804748810403005,4.070074486923478
29,0.0001089904067638043,470147.9999999999,1883.568463261775,1.058302505170701,0.035252573493793855,0.9018317857005306,1122490.2976764943,0.0,6.391560289012885e-07,6.421229162970402e-07,0.0002615758439955191,0.00019042736754895916,5.091084904683383,407349904886.79926,409240775415.7791,384908759921242.9,386695461284739.06,2.044079446674369,2.0469825817030483,1.5867234727720032,2.0456849445395813,1.0046418828292238,3.33373824871953,1.9600575223351467e-09,1527.1399626646871,0.03197887085629944,9.824605597363447e-05,0.010735060135924474,0.02883956220902318,0.009681218451983348,0.020122045656597504,-0.0002186706367086491,0.044809653031745146,0.7200206571798569,8.156022340182542
