t[s],lambda[m],N_agg[mol/kg],N_agg[#/m3],N_pri[mol/kg],N_pri[#/m3],n_p,d_p[nm],d_m[nm],d_g[nm]
2.9299112471805026e-06,5.643451311729871e-07,3.515567941467368e-05,2.6040631343677716e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0084458368352993,1.9999369869583437,2.0075204230925525,1.5562173822422887
3.755870406474887e-06,5.64313925507883e-07,3.507269464638758e-05,2.5979162591144463e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0108318994102627,1.9999369869583437,2.009656512406992,1.5578732654317768
4.638747977337651e-06,5.642730366692982e-07,3.498433726638536e-05,2.591371421985881e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0133848835521224,1.9999369869583437,2.011938967162085,1.5596426102031666
5.607003165552982e-06,5.642201174847463e-07,3.488784418106945e-05,2.58422395419757e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0161877117669855,1.9999369869583437,2.014441152054221,1.5615822884141248
6.5752583537683135e-06,5.641600485301199e-07,3.4791776224554915e-05,2.5771079766907003e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0189936356805722,1.9999369869583437,2.016942301367082,1.5635211638504516
7.675714855129257e-06,5.640847993625974e-07,3.468310446727329e-05,2.569058406277166e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0221864245254315,1.9999369869583437,2.019783692021422,1.5657237922646678
8.776171356490202e-06,5.640036354340152e-07,3.4574974790173214e-05,2.561048989006457e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0253832074208866,1.9999369869583437,2.022623750896041,1.5679253882915047
9.876627857851147e-06,5.639175294171786e-07,3.4467383482165816e-05,2.553079449989568e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0285839818734155,1.9999369869583437,2.0254624811061728,1.5701259543458705
1.0853049877631504e-05,5.638372847768889e-07,3.437236679161742e-05,2.546041342203677e+18,3.5452598546844106e-05,2.62605662670946e+18,1.031427331198215,1.9999369869583437,2.027980142829805,1.5720776301006243
1.1812720177560983e-05,5.63754805903376e-07,3.427938793948663e-05,2.5391541818602885e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0342249578501386,1.9999369869583437,2.030453596176932,1.573995035796071
1.2871297379294733e-05,5.636592872948097e-07,3.417729228619248e-05,2.5315917188002934e+18,3.5452598546844106e-05,2.62605662670946e+18,1.037314432342168,1.9999369869583437,2.033180807661884,1.5761091532262663
1.3929874581028483e-05,5.635583868167039e-07,3.407568228576727e-05,2.5240652291805266e+18,3.5452598546844106e-05,2.62605662670946e+18,1.04040759182838,1.9999369869583437,2.0359068003075524,1.578222325819808
1.4988451782762233e-05,5.634513335267849e-07,3.397455476737868e-05,2.5165744781300465e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0435044341150455,1.9999369869583437,2.038631576832683,1.5803345556842503
1.615018415588789e-05,5.633257622408535e-07,3.386412423740011e-05,2.5083946313225385e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0469072903910994,1.9999369869583437,2.0416204782146643,1.5826515334997397
1.733770532186152e-05,5.631874832378989e-07,3.375183469348784e-05,2.500077083018953e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0503902637827394,1.9999369869583437,2.0446742221877683,1.5850187768897428
1.8525226487835153e-05,5.630379309597063e-07,3.364013970930524e-05,2.49180357514067e+18,3.5452598546844106e-05,2.62605662670946e+18,1.053877862969681,1.9999369869583437,2.0477264466494605,1.5873848423639227
1.9712747653808784e-05,5.628758635884705e-07,3.35290349647623e-05,2.4835737876885504e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0573700848862306,1.9999369869583437,2.050777155372699,1.5897497328470531
2.0900268819782416e-05,5.627000658997927e-07,3.341851617964079e-05,2.4753874036168515e+18,3.5452598546844106e-05,2.62605662670946e+18,1.060866926474806,1.9999369869583437,2.053826352113613,1.5921134512508628
2.275198519348698e-05,5.623957716359698e-07,3.324734206449498e-05,2.4627081378415703e+18,3.5452598546844106e-05,2.62605662670946e+18,1.066328805414618,1.9999369869583437,2.058577993992889,1.595796894568131
2.5104249851849278e-05,5.619503522175315e-07,3.303191154557846e-05,2.4467506970619146e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0732832854049486,1.9999369869583437,2.064608813954744,1.6004719488021268
2.7581651581376008e-05,5.614020129758934e-07,3.280742531721009e-05,2.43012247877115e+18,3.5452598546844106e-05,2.62605662670946e+18,1.080627272760914,1.9999369869583437,2.0709541225134833,1.605390792646111
3.0317214653962714e-05,5.606927787293041e-07,3.2562368978307005e-05,2.4119705844369925e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0887598064644057,1.9999369869583437,2.077953133667793,1.6108163826882118
3.305277772654942e-05,5.59866259096215e-07,3.232022830153533e-05,2.394034659994332e+18,3.5452598546844106e-05,2.62605662670946e+18,1.0969167116050345,1.9999369869583437,2.084944295533164,1.6162358880102043
3.578834079913613e-05,5.58915825059039e-07,3.208095579961627e-05,2.3763111879497185e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1050979518281112,1.9999369869583437,2.091927651927478,1.62164934257944
3.865611560746426e-05,5.577813417784672e-07,3.183314781630347e-05,2.357955472899093e+18,3.5452598546844106e-05,2.62605662670946e+18,1.113700685569239,1.9999369869583437,2.0992401858379,1.627317973517752
4.015640101309815e-05,5.571303525164658e-07,3.170472417793908e-05,2.3484428346052506e+18,3.5452598546844106e-05,2.62605662670946e+18,1.118211858518955,1.9999369869583437,2.103062378796307,1.630280913795587
4.0687814183058625e-05,5.568902148501918e-07,3.1659434202677946e-05,2.345088100550965e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1198115013642698,1.9999369869583437,2.1044156749415035,1.6313299805748087
4.1540216420453334e-05,5.564945609659531e-07,3.158700362499591e-05,2.339722998801174e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1223792850927214,1.9999369869583437,2.1065857958792913,1.6330122448676676
4.302072873390005e-05,5.557766757035977e-07,3.146182961245173e-05,2.330451067867843e+18,3.5452598546844106e-05,2.62605662670946e+18,1.126844782504732,1.9999369869583437,2.110353245138572,1.6359327481694355
4.529936209809326e-05,5.54595753643503e-07,3.127072092903192e-05,2.3162952021460905e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1337314105198548,1.9999369869583437,2.116147291809398,1.6404242572165877
4.711865300966598e-05,5.535870766848897e-07,3.111946705686067e-05,2.3050914752089536e+18,3.5452598546844106e-05,2.62605662670946e+18,1.139241828340635,1.9999369869583437,2.120769540828504,1.6440073959910884
4.757850326636284e-05,5.53322943114483e-07,3.10814208901586e-05,2.3022733069424768e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1406363522482836,1.9999369869583437,2.1219373446922023,1.6449126703040327
4.834058086798381e-05,5.528771219288494e-07,3.1018533295083515e-05,2.2976150761623964e+18,3.5452598546844106e-05,2.62605662670946e+18,1.142948901212663,1.9999369869583437,2.123872192668516,1.6464125524562137
4.952733381479982e-05,5.52162919659016e-07,3.092100550792059e-05,2.290390965596027e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1465538705642262,1.9999369869583437,2.126884084759348,1.648747352526626
