t[s],lambda[m],N_agg[mol/kg],N_agg[#/m3],N_pri[mol/kg],N_pri[#/m3],n_p,d_p[nm],d_m[nm],d_g[nm]
0.7850543095373829,1.3934950557355922e-07,9.076272903878113e-09,672300693940933.6,3.5452598546844106e-05,2.62605662670946e+18,3906.0745442874363,259.4845000698561,10724.934740296121,18138.742882295755
0.8050543095373829,1.3934950557356232e-07,8.855770779103879e-09,655967587491718.5,3.5452598546844106e-05,2.62605662670946e+18,4003.3329036133405,259.4845000698561,10844.291640306286,18369.765935709653
0.8250543095373829,1.393495055735654e-07,8.64579605217534e-09,640414269943962.0,3.5452598546844106e-05,2.62605662670946e+18,4100.559200436378,259.4845000698561,10962.025546080393,18597.91069639001
0.8450543095373829,1.3934950557356846e-07,8.445610193899707e-09,625586036718585.6,3.5452598546844106e-05,2.62605662670946e+18,4197.754541460088,259.4845000698561,11078.197134665048,18823.280672979996
0.8650543095373829,1.3934950557357155e-07,8.254542294921311e-09,611433191995491.8,3.5452598546844106e-05,2.62605662670946e+18,4294.9199701425805,259.4845000698561,11192.863439450362,19045.973313176353
0.885054309537383,1.393495055735746e-07,8.071981491006309e-09,597910487636742.2,3.5452598546844106e-05,2.62605662670946e+18,4392.056471678597,259.4845000698561,11306.078147751068,19266.08048956063
0.905054309537383,1.393495055735777e-07,7.897370385059338e-09,584976635939997.6,3.5452598546844106e-05,2.62605662670946e+18,4489.164977486076,259.4845000698561,11417.891867939028,19483.688936453276
0.925054309537383,1.3934950557358069e-07,7.73019931604603e-09,572593885124244.4,3.5452598546844106e-05,2.62605662670946e+18,4586.246369256361,259.4845000698561,11528.352369843738,19698.880643695873
0.945054309537383,1.3934950557358376e-07,7.5700013502053e-09,560727648317214.3,3.5452598546844106e-05,2.62605662670946e+18,4683.301482618973,259.4845000698561,11637.504801613692,19911.733212442818
0.965054309537383,1.3934950557358677e-07,7.416347890469955e-09,549346178334931.3,3.5452598546844106e-05,2.62605662670946e+18,4780.33111046488,259.4845000698561,11745.39188579064,20122.320177349975
0.985054309537383,1.3934950557358982e-07,7.268844816816817e-09,538420281788447.7,3.5452598546844106e-05,2.62605662670946e+18,4877.336005966566,259.4845000698561,11852.054096977143,20330.71129896122
