t[s],z[m],T[K],density[kg/m3],area[m2],mean_MW[kg/mol],gas_mdot[kg/s],velocity[m/s],gas_h[J/s],total_h,N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,total_carbon_mass_flow[kg/s],total_hydrogen_mass_flow[kg/s],soot_carbon_mass_flow[kg/s],soot_h[J/s],soot_mass[kg/kg],volume_fraction[-],SSA[m2/g],carbon_yield[-],inception_mass[mol/kg-s],coagulation_mass[mol/kg-s],PAH_adsorption_mass[mol/kg-s],surface_growth_mass[mol/kg-s],C_tot_inception[mol/kg-s],C_tot_PAH[mol/kg-s],C_tot_growth[mol/kg-s]
0.009841240430804381,0.041754022538456115,1815.9385016022275,0.22581279651830025,9.503317777109122e-05,0.033640319965822625,9.746623329567417e-05,4.54183965698291,106.23934075957858,112.75805843055481,1.7266053557038956e-06,0.0004604768011017733,2.1273972644344474,0.4406601829799324,18488.73435502675,234796997042.80435,62619155992653.414,4.606799660171541,56.89916961089628,78.2454982409702,29.653153335568373,266.6948759197194,3.1978764247537923e-06,1.073502434818687e-06,2.4904736204343303e-06,6.518717670976234,0.025996354007565923,3.261282998737879e-06,711.2049001042926,0.7787898247604625,0.0020420288921784583,-0.006784033690030335,25.687207279848717,2033.5974999628766,0.7718869212434571,25.687207279848717,2033.5974999628766
0.009910749069293054,0.04207085059895282,1827.7064449810864,0.2238537203566531,9.503317777109122e-05,0.03356457804795234,9.730456039047136e-05,4.573989073237117,105.75796551905009,112.7580584305434,1.4355889804918306e-06,0.00046133900260156215,2.267779719405217,0.45908657844254,19305.431009625176,193528681542.90936,62192124717489.24,4.703046549646286,63.172025593560456,88.32636186041837,32.21384980001791,321.35869588766843,3.197876424753857e-06,1.0735024348187091e-06,2.650411022305065e-06,7.000092911493314,0.027701061480846147,3.4449920390643267e-06,696.920261448244,0.8288034527521658,0.0009193985762407845,-0.004610269936297983,18.272736190752703,1831.4538668691248,0.34753266181901654,18.272736190752703,1831.4538668691248
0.009977053327461004,0.042375059128625533,1837.8582416617865,0.22221116670593102,9.503317777109122e-05,0.033503356751587464,9.717134060508387e-05,4.6014914969825,105.35269266705829,112.75805843054377,1.2246114225123684e-06,0.00046201699586211065,2.3838151505788723,0.4742196564778569,19968.245198709734,163875900389.6853,61826510679534.516,4.779589374475507,69.00609117376129,97.84507410888213,34.536405562516926,377.27640569794244,3.1978764247538406e-06,1.0735024348187028e-06,2.782210190890808e-06,7.405365763485475,0.029110017187332516,3.5936504900149236e-06,685.9578635837802,0.8700180436493643,0.0005187569314679134,-0.0032801578766569212,13.32407748637227,1528.08743775287,0.19609012009487126,13.32407748637227,1528.08743775287
0.010045690559137345,0.042691739071606984,1846.7239935634714,0.22081619331153532,9.503317777109122e-05,0.033453637186898845,9.70610565534878e-05,4.625305864769056,105.01011665134726,112.7580584305505,1.0623908918190058e-06,0.00046257137380324205,2.4801167646111373,0.4867502945076963,20510.671053040947,141275275442.80527,61512103265605.93,4.841168187153223,74.55085990256279,107.01580181924614,36.69286661550365,435.4060048568715,3.197876424753792e-06,1.0735024348186863e-06,2.8913209928791385e-06,7.747941779203249,0.03027932675660813,3.714536483572402e-06,677.3820044913884,0.9041378117379523,0.000360486240640352,-0.0024069716745137464,10.318280742931762,1173.5100773404376,0.13626379896205307,10.318280742931762,1173.5100773404376
0.010111098742291786,0.042994885380375825,1853.498250289477,0.2197803987072779,9.503317777109122e-05,0.033418855258601964,9.698224174835351e-05,4.643331177577615,104.7600522681031,112.75805843055447,9.456958445139602e-07,0.000462968263194424,2.549072031899349,0.49573641177439254,20895.078742978334,125167432222.7047,61276095312054.586,4.884228889770072,79.28771301143826,114.94953149416821,38.49425522799513,489.5530268850513,3.1978764247537707e-06,1.0735024348186797e-06,2.9692960022999007e-06,7.998006162451373,0.031116606478211673,3.7993445434437933e-06,671.5089178381129,0.928521183408398,0.0002875637350362475,-0.0018626428486042763,8.695955047573811,861.4524938103568,0.10869909184370155,8.695955047573811,861.4524938103568
0.010189638484898553,0.043360248046679505,1859.7254418365287,0.21885914481459368,9.503317777109122e-05,0.03339057996067902,9.691625014998179e-05,4.659704033349708,104.54540971652516,112.75805843055662,8.387577571608727e-07,0.0004633039513301079,2.606891043339186,0.503313032346211,21214.987873461952,110548321498.12715,61063487909024.45,4.919693018964543,84.32206989044646,123.4857387235262,40.36588597956247,552.3692000159311,3.197876424753765e-06,1.0735024348187148e-06,3.0345804047892613e-06,8.212648714031452,0.03181870785815195,3.868786217189181e-06,666.7457386402533,0.9489361068820358,0.00023719809414010607,-0.0014268660810690136,7.45458706461177,565.8641181735616,0.0896608795849601,7.45458706461177,565.8641181735616
0.010275066111668332,0.04375889468476492,1864.6873048843001,0.2181546834053591,9.503317777109122e-05,0.033371904115384494,9.687045481547045e-05,4.672542352802856,104.39129218276528,112.75805843055531,7.50205561851638e-07,0.00046354160724311797,2.6470564538516235,0.5086341689903049,21436.007962189644,98558872330.71072,60898159666379.39,4.943985702824813,89.1222219106446,131.7248933546896,42.10949376350472,617.8861245696667,3.197876424753784e-06,1.0735024348186833e-06,3.0798793884706735e-06,8.366766247790025,0.03230649830955408,3.915452172586966e-06,663.5200063093907,0.9631014396418831,0.0002005416769726471,-0.0011119846990510047,6.439991390734956,347.81043314840485,0.0758047538956606,6.439991390734956,347.81043314840485
0.010368116041235517,0.04419416361857883,1868.6051573589557,0.21762342447864833,9.503317777109122e-05,0.03336058173663034,9.684031086814439e-05,4.682491486443863,104.28505838607079,112.75805843055178,6.7555844078519e-07,0.00046370297623422207,2.6735101183689713,0.5122016519957274,21581.090322771066,88535912946.5454,60771006412428.66,4.959825098649295,93.74022538714897,139.73925608017674,43.751406076425745,686.3995003826287,3.1978764247538097e-06,1.0735024348186922e-06,3.1096905507244604e-06,8.473000044481003,0.032627829296941406,3.944766636058421e-06,661.4319980150846,0.9724236142021917,0.000167076340349218,-0.0008787652614735079,5.524149658152873,204.06845393193947,0.0631548566520044,5.524149658152873,204.06845393193947
0.010477765014612547,0.044708073382248706,1871.9175307265084,0.21719508312040797,9.503317777109122e-05,0.03335393921832952,9.681993593005412e-05,4.690739023817172,104.20859260865923,112.75805843054754,6.066801584112462e-07,0.0004638168777414601,2.691394377604069,0.5146817817529988,21679.001549838013,79352513237.23358,60666290829446.89,4.970453058779286,98.60978617986594,148.2749464032583,45.449058968858026,764.5163127735846,3.1978764247538347e-06,1.0735024348187002e-06,3.12983396136883e-06,8.549465821888303,0.0328451371054095,3.96322349095034e-06,660.0368718286625,0.9787226101510308,0.00013122052075553852,-0.0006894100221219814,4.626195903297402,111.836340663307,0.04960135684559356,4.626195903297402,111.836340663307
0.010607626072812288,0.04531768346755526,1874.6788628353029,0.2168536327438861,9.503317777109122e-05,0.03335062803206102,9.680679615019663e-05,4.697487353151689,104.15498947718572,112.75805843054299,5.424979803628924e-07,0.0004638944468387177,2.7029260709335023,0.5163513903517591,21742.094011241883,70846064934.52597,60581047843749.39,4.977264382660295,103.84848898351046,157.54274163424523,47.24230287334687,855.1081545564565,3.1978764247538525e-06,1.0735024348187231e-06,3.1428176356396745e-06,8.60306895335726,0.03298532723945687,3.973882243956713e-06,659.144408463958,0.9827827027081946,9.518956248241671e-05,-0.0005349503836847207,3.76754324084239,58.452235914904016,0.035981654618353516,3.76754324084239,58.452235914904016
0.010762412481706327,0.04604524150514315,1876.950505058102,0.2165829939670621,9.503317777109122e-05,0.03334936780067297,9.679848775742899e-05,4.702953624736074,104.11752646873317,112.7580584305412,4.822220627507173e-07,0.0004639463661907808,2.7102137421385355,0.5174732329476316,21781.969941143398,62895899811.0116,60512212981642.24,4.981547788497323,109.6007727979243,167.8066779398094,49.17803834651887,962.101077549859,3.197876424753865e-06,1.0735024348187013e-06,3.1510208913700764e-06,8.640531961808026,0.03307399027563716,3.9795910201861076e-06,658.5830666216392,0.985347922448057,6.310814413275908e-05,-0.0004088920650710343,2.9699945468779965,29.902433570837665,0.023854878482182932,2.9699945468779965,29.902433570837665
0.01092888254636789,0.046828496646140284,1878.6342622038458,0.21638769435209465,9.503317777109122e-05,0.03334918540061442,9.679360201296218e-05,4.706960676179354,104.09314487480613,112.75805843054079,4.3084590180826126e-07,0.0004639782276195124,2.714495668926139,0.5181826772793129,21805.405586858065,56144268915.79101,60461799156522.7,4.984055803594159,115.36177565009163,178.16652437058718,51.086730361517354,1076.9006405125235,3.197876424753868e-06,1.07350243481869e-06,3.1558399652752386e-06,8.664913555734651,0.033126135618169406,3.982271171783598e-06,658.2538282822819,0.9868548830885213,4.0020384947295644e-05,-0.00031574581843203496,2.3166148855301607,16.3774051869964,0.015127705510077753,2.3166148855301607,16.3774051869964
0.011105227726955656,0.04765882287218825,1879.8882340487503,0.2162447047147943,9.503317777109122e-05,0.03334939373713787,9.679054523692913e-05,4.709924366912494,104.076537426861,112.7580584305405,3.872046806138487e-07,0.0004639984728250753,2.717172174492826,0.5186588768411649,21820.05407695564,50423964142.071,60424482262496.97,4.985620853295677,121.0816768583462,188.52388629237134,52.9555194408202,1198.3286774567982,3.1978764247538677e-06,1.0735024348186886e-06,3.1588518776002658e-06,8.681521003679512,0.03315876313568923,3.983559412769402e-06,658.0478888089289,0.9877967307164406,2.4645451159967826e-05,-0.00024679770401972076,1.7928205275806102,9.6984833678661,0.009315980538467838,1.7928205275806102,9.6984833678661
0.011301700343403031,0.0485844370090937,1880.882375267752,0.2161325368233154,9.503317777109122e-05,0.03334972214521924,9.678840402304531e-05,4.712264466505435,104.064123042603,112.75805843054034,3.4808685985436706e-07,0.00046401248366920124,2.7190453994622197,0.5190129266049487,21830.301180522183,45306309283.6096,60394963215124.445,4.986716097482476,127.05552639962467,199.41082125222732,54.881839030666555,1333.0364836619665,3.1978764247538673e-06,1.0735024348186886e-06,3.160959668873305e-06,8.693935387937344,0.03318161932295851,3.984237533431424e-06,657.9034304518617,0.9884558528941233,1.441438083233294e-05,-0.00019280912204228698,1.3565457711141775,6.0338489205724235,0.0054486359546218515,1.3565457711141775,6.0338489205724235
0.011535258345182353,0.0496852665137566,1881.716055226928,0.21603906426372047,9.503317777109122e-05,0.0333500746216943,9.678675456946461e-05,4.714222960184406,104.05410105569597,112.75805843054016,3.110725587094812e-07,0.00046402288786419446,2.720487415959094,0.5192982116812634,21838.182026639977,40471089344.7833,60370197328510.92,4.9875602149824285,133.6728222574281,211.5475886603678,56.98764615260091,1491.6869870786563,3.1978764247538677e-06,1.0735024348186888e-06,3.1625821526792138e-06,8.703957374844197,0.0331992269504594,3.984627735920076e-06,657.7918835046185,0.9889632157782401,7.681065230311529e-06,-0.00014840054473085594,0.9810063377158112,3.8425503217135577,0.002903442657057758,0.9810063377158112,3.8425503217135577
0.011837226724328844,0.05110909072639327,1882.4494482357422,0.21595705568821155,9.503317777109122e-05,0.03335040806500523,9.67853746570902e-05,4.715945925834612,104.04547235331917,112.75805843053969,2.7403014082741556e-07,0.0004640310980233921,2.721693313397348,0.519543002706598,21844.763789056502,35638271899.683945,60348348511347.62,4.9882676237484675,141.54244208032787,226.07948183823882,59.45649858667946,1693.3578788898237,3.197876424753869e-06,1.0735024348186939e-06,3.1639389056437424e-06,8.712586077220523,0.033213957733943804,3.984882511097337e-06,657.6983075621765,0.989387482630464,3.449935708893289e-06,-0.00011031701306787811,0.6512149363426861,2.443504334806943,0.0013040756979616633,0.6512149363426861,2.443504334806943
0.012284252581517373,0.053217628713369575,1883.1264998169374,0.21588117886396876,9.503317777109122e-05,0.033350681117993115,9.67841079930971e-05,4.717541722764759,104.0375221494454,112.75805843054148,2.339900415903046e-07,0.000464038081520789,2.722800389708711,0.5197663313081231,21850.796721153398,30420269751.580475,60328052933057.8,4.98891884784702,151.990607603136,245.5252469267711,62.679451720914116,1983.1531221028529,3.197876424753868e-06,1.0735024348186755e-06,3.165184445411151e-06,8.72053628109609,0.033227479942749924,3.98510418928874e-06,657.6122161175552,0.9897769722798357,1.0806353104521613e-06,-7.610704864312724e-05,0.3602796172830463,1.499818615080288,0.00040848014735091697,0.3602796172830463,1.499818615080288
